Time_s_Ex	Time_s_Rt	Defl_nm_Ex	Defl_nm_Rt	Defl_pN_Ex	Defl_pN_Rt	Defl_nm_Ex	Defl_nm_Rt	Defl_pN_Ex	Defl_pN_Rt	
0.000000e+000	4.853756e-001	-4.843617e+000	8.154933e+000	-2.398400e+002	4.038054e+002	-4.843617e+000	8.154933e+000	-2.398400e+002	4.038054e+002	
9.479993e-004	4.863237e-001	-5.240945e+000	7.095359e+000	-2.595143e+002	3.513388e+002	-5.240945e+000	7.095359e+000	-2.595143e+002	3.513388e+002	
1.895999e-003	4.872717e-001	-5.089582e+000	6.054707e+000	-2.520193e+002	2.998091e+002	-5.089582e+000	6.054707e+000	-2.520193e+002	2.998091e+002	
2.843998e-003	4.882197e-001	-5.108503e+000	4.938370e+000	-2.529562e+002	2.445318e+002	-5.108503e+000	4.938370e+000	-2.529562e+002	2.445318e+002	
3.791997e-003	4.891677e-001	-5.051742e+000	3.992322e+000	-2.501456e+002	1.976866e+002	-5.051742e+000	3.992322e+000	-2.501456e+002	1.976866e+002	
4.739997e-003	4.901157e-001	-5.278786e+000	2.913827e+000	-2.613881e+002	1.442831e+002	-5.278786e+000	2.913827e+000	-2.613881e+002	1.442831e+002	
5.687996e-003	4.910637e-001	-5.051742e+000	1.854254e+000	-2.501456e+002	9.181654e+001	-5.051742e+000	1.854254e+000	-2.501456e+002	9.181654e+001	
6.635995e-003	4.920117e-001	-5.089582e+000	9.271269e-001	-2.520193e+002	4.590827e+001	-5.089582e+000	9.271269e-001	-2.520193e+002	4.590827e+001	
7.583994e-003	4.929597e-001	-5.222025e+000	9.460479e-002	-2.585775e+002	4.684517e+000	-5.222025e+000	9.460479e-002	-2.585775e+002	4.684517e+000	
8.531993e-003	4.939077e-001	-5.127423e+000	-7.757356e-001	-2.538931e+002	-3.841187e+001	-5.127423e+000	-7.757356e-001	-2.538931e+002	-3.841187e+001	
9.479992e-003	4.948558e-001	-5.203104e+000	-1.873118e+000	-2.576406e+002	-9.275060e+001	-5.203104e+000	-1.873118e+000	-2.576406e+002	-9.275060e+001	
1.042799e-002	4.958038e-001	-4.957139e+000	-2.383968e+000	-2.454612e+002	-1.180462e+002	-4.957139e+000	-2.383968e+000	-2.454612e+002	-1.180462e+002	
1.137599e-002	4.967518e-001	-5.013901e+000	-2.743455e+000	-2.482718e+002	-1.358468e+002	-5.013901e+000	-2.743455e+000	-2.482718e+002	-1.358468e+002	
1.232399e-002	4.976998e-001	-5.032821e+000	-3.708395e+000	-2.492087e+002	-1.836275e+002	-5.032821e+000	-3.708395e+000	-2.492087e+002	-1.836275e+002	
1.327199e-002	4.986478e-001	-4.976060e+000	-4.067882e+000	-2.463981e+002	-2.014281e+002	-4.976060e+000	-4.067882e+000	-2.463981e+002	-2.014281e+002	
1.421999e-002	4.995958e-001	-4.976060e+000	-4.616573e+000	-2.463981e+002	-2.285975e+002	-4.976060e+000	-4.616573e+000	-2.463981e+002	-2.285975e+002	
1.516799e-002	5.005438e-001	-4.994980e+000	-4.200325e+000	-2.473349e+002	-2.079862e+002	-4.994980e+000	-4.200325e+000	-2.473349e+002	-2.079862e+002	
1.611598e-002	5.014918e-001	-5.259866e+000	-4.351687e+000	-2.604512e+002	-2.154812e+002	-5.259866e+000	-4.351687e+000	-2.604512e+002	-2.154812e+002	
1.706398e-002	5.024399e-001	-4.938220e+000	-4.824697e+000	-2.445243e+002	-2.389031e+002	-4.938220e+000	-4.824697e+000	-2.445243e+002	-2.389031e+002	
1.801198e-002	5.033879e-001	-4.994980e+000	-4.862538e+000	-2.473349e+002	-2.407768e+002	-4.994980e+000	-4.862538e+000	-2.473349e+002	-2.407768e+002	
1.895998e-002	5.043359e-001	-5.032821e+000	-5.467990e+000	-2.492087e+002	-2.707568e+002	-5.032821e+000	-5.467990e+000	-2.492087e+002	-2.707568e+002	
1.990798e-002	5.052839e-001	-4.881458e+000	-5.108503e+000	-2.417137e+002	-2.529562e+002	-4.881458e+000	-5.108503e+000	-2.417137e+002	-2.529562e+002	
2.085598e-002	5.062319e-001	-5.089582e+000	-5.089582e+000	-2.520193e+002	-2.520193e+002	-5.089582e+000	-5.089582e+000	-2.520193e+002	-2.520193e+002	
2.180398e-002	5.071799e-001	-5.108503e+000	-5.543672e+000	-2.529562e+002	-2.745043e+002	-5.108503e+000	-5.543672e+000	-2.529562e+002	-2.745043e+002	
2.275198e-002	5.081279e-001	-4.862538e+000	-5.695035e+000	-2.407768e+002	-2.819993e+002	-4.862538e+000	-5.695035e+000	-2.407768e+002	-2.819993e+002	
2.369997e-002	5.090759e-001	-4.976060e+000	-5.713955e+000	-2.463981e+002	-2.829362e+002	-4.976060e+000	-5.713955e+000	-2.463981e+002	-2.829362e+002	
2.464797e-002	5.100240e-001	-4.919299e+000	-5.732875e+000	-2.435874e+002	-2.838731e+002	-4.919299e+000	-5.732875e+000	-2.435874e+002	-2.838731e+002	
2.559597e-002	5.109720e-001	-5.127423e+000	-5.770716e+000	-2.538931e+002	-2.857468e+002	-5.127423e+000	-5.770716e+000	-2.538931e+002	-2.857468e+002	
2.654397e-002	5.119200e-001	-5.013901e+000	-5.978840e+000	-2.482718e+002	-2.960524e+002	-5.013901e+000	-5.978840e+000	-2.482718e+002	-2.960524e+002	
2.749197e-002	5.128680e-001	-4.938220e+000	-6.130203e+000	-2.445243e+002	-3.035474e+002	-4.938220e+000	-6.130203e+000	-2.445243e+002	-3.035474e+002	
2.843997e-002	5.138160e-001	-4.900379e+000	-6.489691e+000	-2.426506e+002	-3.213481e+002	-4.900379e+000	-6.489691e+000	-2.426506e+002	-3.213481e+002	
2.938797e-002	5.147640e-001	-4.881458e+000	-6.395089e+000	-2.417137e+002	-3.166637e+002	-4.881458e+000	-6.395089e+000	-2.417137e+002	-3.166637e+002	
3.033597e-002	5.157120e-001	-5.032821e+000	-6.659974e+000	-2.492087e+002	-3.297799e+002	-5.032821e+000	-6.659974e+000	-2.492087e+002	-3.297799e+002	
3.128397e-002	5.166600e-001	-4.900379e+000	-6.451850e+000	-2.426506e+002	-3.194743e+002	-4.900379e+000	-6.451850e+000	-2.426506e+002	-3.194743e+002	
3.223197e-002	5.176080e-001	-4.881458e+000	-5.240945e+000	-2.417137e+002	-2.595143e+002	-4.881458e+000	-5.240945e+000	-2.417137e+002	-2.595143e+002	
3.317997e-002	5.185561e-001	-4.994980e+000	-5.259866e+000	-2.473349e+002	-2.604512e+002	-4.994980e+000	-5.259866e+000	-2.473349e+002	-2.604512e+002	
3.412797e-002	5.195041e-001	-5.032821e+000	-5.392309e+000	-2.492087e+002	-2.670093e+002	-5.032821e+000	-5.392309e+000	-2.492087e+002	-2.670093e+002	
3.507597e-002	5.204521e-001	-5.051742e+000	-4.805777e+000	-2.501456e+002	-2.379662e+002	-5.051742e+000	-4.805777e+000	-2.501456e+002	-2.379662e+002	
3.602397e-002	5.214001e-001	-4.749015e+000	-5.013901e+000	-2.351556e+002	-2.482718e+002	-4.749015e+000	-5.013901e+000	-2.351556e+002	-2.482718e+002	
3.697197e-002	5.223481e-001	-4.862538e+000	-5.278786e+000	-2.407768e+002	-2.613881e+002	-4.862538e+000	-5.278786e+000	-2.407768e+002	-2.613881e+002	
3.791997e-002	5.232961e-001	-5.089582e+000	-5.392309e+000	-2.520193e+002	-2.670093e+002	-5.089582e+000	-5.392309e+000	-2.520193e+002	-2.670093e+002	
3.886797e-002	5.242441e-001	-5.222025e+000	-5.278786e+000	-2.585775e+002	-2.613881e+002	-5.222025e+000	-5.278786e+000	-2.585775e+002	-2.613881e+002	
3.981597e-002	5.251921e-001	-5.013901e+000	-5.165264e+000	-2.482718e+002	-2.557668e+002	-5.013901e+000	-5.165264e+000	-2.482718e+002	-2.557668e+002	
4.076397e-002	5.261402e-001	-5.051742e+000	-5.165264e+000	-2.501456e+002	-2.557668e+002	-5.051742e+000	-5.165264e+000	-2.501456e+002	-2.557668e+002	
4.171197e-002	5.270882e-001	-4.881458e+000	-5.146344e+000	-2.417137e+002	-2.548299e+002	-4.881458e+000	-5.146344e+000	-2.417137e+002	-2.548299e+002	
4.265998e-002	5.280362e-001	-4.805777e+000	-5.373388e+000	-2.379662e+002	-2.660724e+002	-4.805777e+000	-5.373388e+000	-2.379662e+002	-2.660724e+002	
4.360798e-002	5.289842e-001	-5.165264e+000	-5.486910e+000	-2.557668e+002	-2.716937e+002	-5.165264e+000	-5.486910e+000	-2.557668e+002	-2.716937e+002	
4.455598e-002	5.299322e-001	-4.749015e+000	-5.165264e+000	-2.351556e+002	-2.557668e+002	-4.749015e+000	-5.165264e+000	-2.351556e+002	-2.557668e+002	
4.550398e-002	5.308802e-001	-5.051742e+000	-5.146344e+000	-2.501456e+002	-2.548299e+002	-5.051742e+000	-5.146344e+000	-2.501456e+002	-2.548299e+002	
4.645198e-002	5.318282e-001	-4.692255e+000	-5.184184e+000	-2.323450e+002	-2.567037e+002	-4.692255e+000	-5.184184e+000	-2.323450e+002	-2.567037e+002	
4.739998e-002	5.327762e-001	-4.900379e+000	-5.070662e+000	-2.426506e+002	-2.510824e+002	-4.900379e+000	-5.070662e+000	-2.426506e+002	-2.510824e+002	
4.834798e-002	5.337242e-001	-4.957139e+000	-4.994980e+000	-2.454612e+002	-2.473349e+002	-4.957139e+000	-4.994980e+000	-2.454612e+002	-2.473349e+002	
4.929598e-002	5.346723e-001	-4.938220e+000	-5.070662e+000	-2.445243e+002	-2.510824e+002	-4.938220e+000	-5.070662e+000	-2.445243e+002	-2.510824e+002	
5.024398e-002	5.356203e-001	-4.786856e+000	-5.165264e+000	-2.370293e+002	-2.557668e+002	-4.786856e+000	-5.165264e+000	-2.370293e+002	-2.557668e+002	
5.119198e-002	5.365683e-001	-4.786856e+000	-5.089582e+000	-2.370293e+002	-2.520193e+002	-4.786856e+000	-5.089582e+000	-2.370293e+002	-2.520193e+002	
5.213998e-002	5.375163e-001	-4.786856e+000	-5.127423e+000	-2.370293e+002	-2.538931e+002	-4.786856e+000	-5.127423e+000	-2.370293e+002	-2.538931e+002	
5.308798e-002	5.384643e-001	-4.900379e+000	-5.316627e+000	-2.426506e+002	-2.632618e+002	-4.900379e+000	-5.316627e+000	-2.426506e+002	-2.632618e+002	
5.403598e-002	5.394123e-001	-4.919299e+000	-5.051742e+000	-2.435874e+002	-2.501456e+002	-4.919299e+000	-5.051742e+000	-2.435874e+002	-2.501456e+002	
5.498398e-002	5.403603e-001	-5.013901e+000	-4.919299e+000	-2.482718e+002	-2.435874e+002	-5.013901e+000	-4.919299e+000	-2.482718e+002	-2.435874e+002	
5.593199e-002	5.413083e-001	-4.976060e+000	-5.316627e+000	-2.463981e+002	-2.632618e+002	-4.976060e+000	-5.316627e+000	-2.463981e+002	-2.632618e+002	
5.687999e-002	5.422564e-001	-5.032821e+000	-5.127423e+000	-2.492087e+002	-2.538931e+002	-5.032821e+000	-5.127423e+000	-2.492087e+002	-2.538931e+002	
5.782799e-002	5.432044e-001	-4.805777e+000	-5.013901e+000	-2.379662e+002	-2.482718e+002	-4.805777e+000	-5.013901e+000	-2.379662e+002	-2.482718e+002	
5.877599e-002	5.441524e-001	-4.805777e+000	-5.127423e+000	-2.379662e+002	-2.538931e+002	-4.805777e+000	-5.127423e+000	-2.379662e+002	-2.538931e+002	
5.972399e-002	5.451004e-001	-4.938220e+000	-5.070662e+000	-2.445243e+002	-2.510824e+002	-4.938220e+000	-5.070662e+000	-2.445243e+002	-2.510824e+002	
